player_name,team_name,pass_danger_prob,dist,angle,forward
Daniel Amartey,Leicester City,0.07962751624463793,16.68682114724071,-58.977357795429214,1
Jonathan Howson,Norwich City,0.04493418998952164,58.41523773811077,-20.544565400159225,1
Andrés Iniesta Luján,Barcelona,0.07953239105312002,17.40028735394907,50.363069420046735,1
Kevin Wimmer,Tottenham Hotspur,0.01534543018008544,52.25217698814088,106.11107724107781,0
José Leonardo Ulloa,Leicester City,0.1986494451813062,5.277309920783494,152.94940299291383,0
Stanislav Lobotka,Celta Vigo,0.00573982059425364,10.159232254457027,69.2459286812006,1
Gerard Piqué Bernabéu,Barcelona,0.015657464543031192,12.940247292845687,73.38557551087364,1
Daniel García Carrillo,Eibar,0.03327214758576779,48.756230371102326,4.587978124072486,1
Ivan Rakitić,Barcelona,0.027107402425590742,23.753947040439407,83.47335123839558,1
Sergio Busquets i Burgos,Barcelona,0.12045171596277589,10.63014581273465,131.18592516570965,0
Ousmane Dembélé,Barcelona,0.1564571955350006,20.270421801235415,-71.29689816063453,1
Juan Francisco Moreno Fuertes,RC Deportivo La Coruña,0.20343023375164224,30.746056657724417,-98.60448159309264,0
Steven N''Kemboanza Mike Christopher Nzonzi,Sevilla,0.018915416863438898,7.887331614684399,-39.340518159837515,1
Ander Iturraspe Derteano,Athletic Club,0.015003469116976031,19.955199823604865,107.7993640287517,0
Luis Alberto Suárez Díaz,Barcelona,0.017701572715173936,39.20051020076142,90.29232286922856,0
Thomas Vermaelen,Barcelona,0.008147883524784153,4.47213595499958,-63.43494882292201,1
Jozabed Sánchez Ruiz,Celta Vigo,0.02159027072778906,11.957006314291215,-147.63906244063006,0
Ousmane Dembélé,Barcelona,0.015608776736998497,34.90128937446294,-113.11236668180376,0
Bacary Sagna,Manchester City,0.009966200341156443,20.738611332488006,-29.77914910356984,1
Hernán Daniel Santana Trujillo,Las Palmas,0.03658131856375354,10.358571330062846,-83.90413845540422,1
Tony Hibbert,Everton,0.058848247540474435,6.8425141578224125,-153.06047193619918,0
Nordin Amrabat,Leganés,0.0208477024203225,11.107204868912792,-133.1759101676239,0
José Luis Gayà Peña,Valencia,0.2687525573374838,2.8999999999999986,90.0,0
Kepa Arrizabalaga Revuelta,Athletic Club,0.002819580254485567,27.505090437953477,69.1270026374922,1
Lionel Andrés Messi Cuccittini,Barcelona,0.00724619524769256,12.175385004179542,-137.66300076606714,0
Alexis Alejandro Sánchez Sánchez,Arsenal,0.011714586423617284,8.570297544426333,19.06919353734813,1
Aleksandar Kolarov,Manchester City,0.13490056459465788,13.612494260788507,102.30053887899811,0
Christian Dannemann Eriksen,Tottenham Hotspur,0.06585025091366327,13.433167906342868,-29.427456403189723,1
Lucas Digne,Barcelona,0.027439741202198022,12.124768039018313,54.73698827040275,1
Lucas Pezzini Leiva,Liverpool,0.10373806667443707,35.43811507402729,-13.212746878335242,1
Craig Dawson,West Bromwich Albion,0.0363660725974391,13.464768843169932,-152.10272896905238,0
Danny Drinkwater,Leicester City,0.03157620163633783,34.78174808717929,-29.070604037089907,1
