player_name,passes,pass_danger
José Andrés Guardado Hernández,124,0.043915207423153725
Raúl García Carnero,46,0.04391471398539944
Sergio Busquets i Burgos,1149,0.043905603574970094
Leandro Bacuna,98,0.04358968128931684
Rodrigo Hernández Cascante,77,0.043500947672559
Borja Herrera González,55,0.04290271229430093
Sergi Darder Moll,41,0.04273793227341912
Daniel García Carrillo,120,0.042694854463024616
Rubén Salvador Pérez Del Mármol,44,0.042148191719872614
Mousa Sidi Yaya Dembélé,77,0.042088925151174246
Javier Fuego Martínez,55,0.04144553398710173
Gabriel Iván Mercado,22,0.04136770107614362
Emre Can,62,0.04131249011750583
Dani Castellano Betancor,25,0.04093280417180321
Daniel Amartey,52,0.039535412656239194
Jairo Samperio Bustara,8,0.03904011486034484
Martin Olsson,39,0.0384334541065179
Joel Ward,37,0.038082461821810625
Gonzalo Escalante,39,0.03802811962666803
Alin Dorinel Toșca,41,0.03790403218262717
Antonio Barragán Fernández,53,0.0375703265569355
Dejan Lovren,58,0.037501451078183035
Jefferson Andrés Lerma Solís,20,0.037313936379204556
Shaquell Moore,31,0.037263329871033125
Matías Aguirregaray Guruceaga,46,0.036659377853987395
Oghenekaro Etebo,30,0.03664299301653638
Bakary Sako,6,0.036349308833845434
Alexander Banor Tettey,45,0.03560489705745765
Ryan Bennett,33,0.03546900721813017
David Rodríguez Lombán,18,0.03543728628863047
Steven N''Kemboanza Mike Christopher Nzonzi,64,0.03525415237919972
Hernán Daniel Santana Trujillo,51,0.034955553746744535
Iván Ramis Barrios,32,0.03447165705872412
Paulo André Rodrigues de Oliveira,39,0.03430854737623341
Unai Núñez Gestoso,84,0.03398003865945983
Jan Kirchhoff,42,0.033875727291207525
Rúben Miguel Nunes Vezo,48,0.033740711532171126
Alberto Aquilani,117,0.03343516860656409
Lucas Pezzini Leiva,20,0.03309361255222274
Clément Lenglet,33,0.03304537628027348
José Vicente Gómez Umpiérrez,50,0.03212343190237619
Maximiliano Gómez González,11,0.031958886135982786
Mario Hermoso Canseco,22,0.031377691714539885
Laurent Koscielny,44,0.031210988678662586
Sulley Ali Muntari,7,0.029734741459236318
Damien Delaney,22,0.029732027813591876
Facundo Sebastián Roncaglia,12,0.02969622987345562
Kevin Toner,32,0.029105353964509383
Aymeric Laporte,36,0.02897791150849076
Jozabed Sánchez Ruiz,49,0.028933503369377035
Carlos Alberto Sánchez Moreno,102,0.028580942888429314
Zouhair Feddal,98,0.027655523934441255
Younes Kaboul,63,0.02729109387909802
Samuel Yves Umtiti,816,0.026952201548626
Fabricio Coloccini,27,0.026857663700979403
Alejandro Gálvez Jimena,66,0.026849897350524485
Sébastien Aymar Bassong Nguena,19,0.026003053403178364
Sergio Ramos García,97,0.025893550894597956
Javier Alejandro Mascherano,270,0.025863235316570254
Stanislav Lobotka,41,0.02501569800637349
Hugo Mallo Novegil,54,0.024898561086908206
Carlos Henrique Casimiro,73,0.024731492405169538
Joleon Lescott,75,0.024522630606050012
Wes Brown,29,0.024459184755957427
Raphaël Varane,79,0.02422312752818853
Martin Kelly,31,0.024176483328517122
Unai Bustinza Martínez,19,0.023990406805867656
Thomas Vermaelen,377,0.023919683601943947
Toby Alderweireld,68,0.02385806068766519
Álvaro González Soberón,46,0.02381332421447265
Sebastián Coates Nión,17,0.023106030005941056
Wes Morgan,26,0.022958091103288353
Gerard Piqué Bernabéu,978,0.022952435144147264
Jonas Olsson,26,0.022816731453855214
Gareth McAuley,75,0.02250477460723031
Sergio Postigo Redondo,34,0.02238986800847434
Tetchi Jores Charlemagne Ulrich Okore,56,0.022336534620478538
Fabian Lukas Schär,33,0.021994680842254703
Chancel Mbemba Mangulu,40,0.021946828335966444
Ezequiel Marcelo Garay,59,0.021350406902024926
Erick Cathriel Cabaco Almada,22,0.021238810870547565
Roberto Suárez Pier,10,0.02121907469388215
Francisco Javier García Fernández,49,0.0211914729144212
Scott Dann,25,0.020403024762982818
Kolo Habib Touré,2,0.019842769886325468
Alexander Mesa Travieso,4,0.019577479939097666
John O''Shea,38,0.019305035992647254
Mamadou Sakho,41,0.019140535985483386
Joe Ledley,5,0.018967258375668067
Simon Thorup Kjær,25,0.018886745132961732
Lamine Koné,42,0.018701650462351237
Timm Klose,52,0.01835122009464387
Raúl Albentosa Redal,19,0.018111228601808863
Aïssa Mandi,109,0.017815412749593407
Robert Huth,26,0.01720357049653246
Edinaldo Gomes Pereira,11,0.017119741881521544
Gustavo Daniel Cabral Cáceres,32,0.016361788256488576
David López Silva,35,0.01629245745430836
Ryan Mason,8,0.01620878332792063
Gabriel Armando de Abreu,97,0.016203166553358014
Víctor Ruíz Torre,34,0.01591094023597131
Mauricio Lemos Merladet,47,0.014979848369376911
Marko Dmitrović,55,0.01476454970409466
Andreu Fontàs Prat,41,0.014692343974529043
Kevin Wimmer,59,0.014691475256725183
Joaquín Navarro Jiménez,65,0.013784233293462901
Dimitrios Siovas,18,0.013539843805733368
Javier López Rodríguez,4,0.013418349280267961
Kasper Schmeichel,50,0.013009141988146485
Yerry Fernando Mina González,5,0.012932661306432766
John Ruddy,55,0.012760528052234774
Wayne Hennessey,30,0.012440775727339183
Rob Elliot,32,0.012364689103976803
Glyn Oliver Myhill,21,0.012304869888871669
Iván Cuéllar Sacristán,27,0.011647009051389193
Ben Foster,35,0.011347641792050542
Nacer Chadli,2,0.010962193624746205
Pau López Sabata,24,0.010811903396754417
Vito Mannone,78,0.010594406896328998
Costel Fane Pantilimon,30,0.01047791813132431
Petr Čech,14,0.010278867254235689
Bradley Guzan,54,0.009504778470453853
David García Santana,1,0.009291617923345959
Micah Richards,3,0.008617683542070211
Kepa Arrizabalaga Revuelta,71,0.008049375510069404
Diego López Rodríguez,24,0.00794578395228098
Simon Mignolet,22,0.007802450782763787
Norberto Murara Neto,49,0.007683157452673058
Oier Olazábal Paredes,30,0.007129299781173024
Rubén Blanco Veiga,40,0.007013427068081448
Leandro Chichizola,92,0.006792502670102062
Sergio Asenjo Andrés,25,0.006432915433585377
Mark Bunn,25,0.006186028421859108
Hugo Lloris,48,0.006163058521100217
Rubén Iván Martínez Andrade,23,0.0061510742814231715
Keylor Navas Gamboa,37,0.005833968265055074
Sergio Rico González,23,0.005816092292477413
Antonio Adán Garrido,75,0.0055726434045189005
Jasper Cillessen,27,0.005455384897792263
Marc-André ter Stegen,676,0.0054359665501772046
